name		procurori				dosare_solutionate																																			
 ZIMNICEA	4	3	3,191	2,303	2,193	1,345	92	0	350	903	984	166	161	34	392	466	1	9	289	114	0	2	108,570	0	0	175	0	1	1	0	0	0	0	0	72	59	8	19	17	0	0
 CLUJ-NAPOCA	26	22	63,024	52,900	20,014	10,145	498	36	810	8,801	2,641	1,195	3,492	2,817	5,396	36,438	0	38	3,078	665	36	52	1,788,416	68,233	2,413	2,377	0	25	0	16	0	0	0	16	616	575	34	141	82	0	0
 TURDA	7	5	13,058	9,182	6,958	3,187	234	11	221	2,721	826	588	487	1,286	1,583	3,789	1	6	1,412	281	11	33	286,038	2,150	0	1,120	1	2	0	10	0	0	0	10	85	68	8	61	30	1	1
 DEJ	3	3	5,519	2,167	4,279	1,111	112	0	274	725	755	187	138	31	613	284	0	9	600	146	0	32	397,014	22,320	200	454	2	2	0	2	1	0	0	1	54	28	1	14	10	0	0
 HUEDIN	3	3	4,433	2,707	2,644	952	119	0	112	721	426	196	178	152	513	1,087	0	4	449	152	0	2	364,178	33,000	0	297	0	10	0	0	0	0	0	0	49	39	1	25	20	0	0
 GHERLA	5	4	8,860	2,981	7,013	1,278	116	0	297	865	503	400	372	3	714	824	0	4	448	137	0	6	159,367	8,000	0	311	0	2	0	1	0	0	0	1	56	34	2	33	18	0	0
 BISTRITA	8	7	20,871	9,192	14,938	3,330	133	3	293	2,901	1,102	550	608	1,070	2,551	2,576	0	5	646	185	3	34	556,273	23,975	30,578	458	0	2	0	0	0	0	0	0	120	119	2	22	14	1	0
 NASAUD	4	3	4,195	2,593	2,868	1,282	197	1	82	1,002	761	300	156	65	736	346	0	4	517	240	2	17	958,882	6,530	106,770	275	0	2	0	0	0	0	0	0	38	29	1	1	1	0	0
 BECLEAN	3	2	2,589	1,420	1,838	704	91	1	67	545	434	119	112	39	434	151	0	0	297	109	1	8	251,169	40,300	0	187	3	4	0	0	0	0	0	0	37	29	1	3	4	0	0
 BAIA MARE	14	13	22,408	15,078	13,048	5,985	326	4	305	5,350	1,425	814	899	2,847	2,547	5,957	1	22	816	388	4	71	3,143,386	8,155	206,913	424	0	16	0	0	0	0	0	0	185	124	22	49	30	0	0
 SIGHETU MARMATIEI	5	4	7,574	5,185	4,821	2,460	225	1	187	2,047	1,473	360	282	345	1,482	905	4	10	677	294	1	16	5,267,463	104,990	0	382	0	5	0	0	0	0	0	0	82	64	10	32	11	0	0
 VISEU DE SUS	3	1	6,186	4,314	2,409	617	45	0	10	562	290	125	95	107	2,240	1,242	0	2	114	56	0	6	44,972	0	0	58	0	4	0	0	0	0	0	0	4	0	0	7	2	0	0
 TARGU LAPUS	3	1	2,021	1,196	1,446	651	72	0	83	496	470	96	12	73	230	262	0	5	245	94	0	0	114,694	3,500	0	151	0	1	0	0	0	0	0	0	6	5	2	5	0	0	0
 DRAGOMIRESTI	3	1	2,090	1,261	1,470	654	68	0	95	491	487	83	69	15	439	110	0	2	230	78	0	5	128,465	4,628	0	152	0	0	0	0	0	0	0	0	7	0	0	5	2	0	0
 ZALAU	6	5	9,537	7,103	5,093	2,713	192	9	267	2,245	1,222	461	199	831	1,086	2,578	0	22	655	232	9	21	1,552,783	66,500	393,287	414	0	1	0	0	0	0	0	0	109	86	13	39	23	0	0
 SIMLEUL SILVANIEI	3	2	4,648	3,290	2,716	1,394	100	2	208	1,084	560	305	170	359	657	908	1	12	443	118	2	6	233,361	0	172,000	323	0	5	0	0	0	0	0	0	69	51	16	18	11	1	1
 JIBOU	3	2	2,657	1,719	1,770	852	70	9	209	564	504	228	91	29	478	287	0	4	290	85	10	9	154,306	15,951	0	195	0	0	0	0	0	0	0	0	27	23	4	9	6	0	0
 CONSTANTA	28	23	91,720	68,333	37,455	14,792	916	2	1,951	11,923	4,243	2,445	6,433	1,671	29,757	20,758	1	75	3,690	1,233	4	265	4,619,685	245,449	0	2,453	4	18	0	3	2	1	0	0	772	698	27	609	272	3	1
 MEDGIDIA	9	8	24,574	11,980	16,740	4,315	322	4	650	3,339	2,189	877	801	448	3,735	3,290	1	20	1,522	423	7	60	16,481,581	58,750	0	1,092	1	24	0	0	0	0	0	0	209	191	15	185	159	0	0
 HARSOVA	3	3	4,802	3,154	2,608	1,261	70	2	150	1,039	609	217	248	187	1,239	576	0	2	367	97	3	14	319,048	270	0	267	0	0	0	0	0	0	0	0	34	30	5	12	6	0	0
 MANGALIA	6	6	13,328	10,349	5,956	3,192	104	12	555	2,521	1,290	623	708	571	4,433	2,478	0	6	463	121	13	17	617,546	39,393	0	329	0	1	0	2	1	0	0	1	82	75	6	28	20	0	0
 TULCEA	10	9	24,317	11,717	17,588	5,145	273	12	1,443	3,417	1,875	1,261	1,551	458	4,692	1,002	0	22	1,011	314	14	13	1,231,806	33,555	337,500	683	0	5	0	0	0	0	0	0	214	209	12	42	26	0	0
 BABADAG	3	1	3,764	2,600	1,806	690	51	1	83	555	182	157	179	172	1,085	387	0	1	193	63	1	2	22,722	0	0	129	0	0	0	0	0	0	0	0	21	5	0	6	2	0	0
 MACIN	3	2	3,133	1,990	1,941	859	17	12	211	619	426	162	219	52	724	203	1	13	416	29	12	2	102,985	0	0	375	0	1	0	0	0	0	0	0	42	17	1	0	1	0	0
 CRAIOVA	23	22	71,729	38,032	48,643	15,564	635	3	1,961	12,965	5,728	2,444	2,794	4,598	9,485	10,956	4	69	3,701	839	3	133	9,507,023	6,105	0	2,859	4	14	1	0	0	0	0	0	713	630	10	163	85	0	0
 BAILESTI	5	4	6,289	4,650	3,380	1,799	96	5	171	1,527	594	426	776	3	1,340	1,354	0	4	139	116	5	11	0	0	0	18	0	3	0	0	0	0	0	0	76	66	1	22	15	1	0
 FILIASI	4	3	3,367	2,103	2,034	1,124	37	5	137	945	538	249	245	92	724	155	1	3	415	45	5	3	584,716	600	15,000	365	0	2	0	1	1	0	0	0	47	38	5	9	6	0	0
 SEGARCEA	4	3	3,759	2,282	2,464	1,172	93	1	252	826	588	250	299	35	689	339	0	8	488	134	1	7	15,900	0	0	353	0	0	0	2	1	0	0	1	64	49	6	12	15	0	0
 CALAFAT	3	2	3,616	2,676	2,575	1,730	126	0	272	1,332	1,088	293	246	103	535	215	0	7	598	172	0	4	143,232	3,290	0	426	0	5	0	0	0	0	0	0	71	45	7	5	9	0	0
 TARGU JIU	14	13	25,262	12,599	17,825	5,341	402	3	704	4,232	2,769	1,372	1,200	0	2,898	3,601	0	76	2,280	495	6	50	7,112,242	76,342	1,480,111	1,779	0	8	0	0	0	0	0	0	750	709	3	95	69	3	3
 TARGU-CARBUNESTI	7	6	9,857	5,350	6,805	2,459	148	6	114	2,191	1,492	699	268	0	1,538	943	0	24	340	175	6	9	19,601	0	0	159	0	1	0	0	0	0	0	0	326	302	11	36	32	0	0
 NOVACI	3	3	3,654	2,163	2,587	1,161	31	6	68	1,056	592	414	106	49	563	291	0	18	207	42	7	4	279,707	0	0	158	0	1	0	0	0	0	0	0	101	65	8	8	5	0	0
 MOTRU	4	3	6,396	3,518	3,954	1,208	83	0	95	1,030	680	324	204	0	1,068	1,066	0	40	1,161	95	0	2	26,497	8,774	0	1,066	0	1	0	0	0	0	0	0	216	196	36	12	15	0	0
 DROBETA-TURNU SEVERIN	12	11	20,273	10,338	15,035	5,255	259	20	820	4,156	2,960	943	689	663	3,034	1,446	2	34	1,666	311	21	10	878,500	102,000	27,618	1,334	0	7	0	0	0	0	0	0	488	440	28	109	83	2	1
 STREHAIA	4	4	4,533	2,499	3,574	1,618	60	23	198	1,337	1,146	289	68	115	440	339	0	12	274	76	27	6	267,145	0	143,289	171	0	0	0	1	1	0	0	0	106	82	1	23	10	0	0
 ORSOVA	3	3	2,490	1,045	1,784	593	35	4	128	426	495	59	22	17	196	133	0	12	315	43	4	1	114,987	0	0	268	0	4	0	0	0	0	0	0	72	45	2	17	12	0	0
 VANJU MARE	5	4	7,001	3,861	4,405	1,360	52	11	224	1,073	880	268	176	36	989	774	0	14	403	63	11	5	373,120	0	0	329	0	1	0	0	0	0	0	0	82	34	4	8	6	0	0
 BAIA DE ARAMA	3	3	2,434	1,008	1,918	611	33	18	67	493	437	82	55	37	162	135	1	5	164	35	18	0	59,294	600	0	111	0	0	0	9	0	0	0	9	73	48	6	12	7	1	0
 SLATINA	12	11	17,214	12,240	10,453	5,653	294	55	841	4,463	2,288	1,886	1,200	279	4,363	1,738	5	54	1,915	384	65	41	2,806,358	100	10,000	1,466	0	1	0	2	0	0	0	2	406	371	28	53	49	0	1
 CARACAL	6	4	9,005	6,933	5,239	3,270	111	1	639	2,519	1,765	766	472	267	1,614	1,632	0	17	778	126	1	17	378,962	0	75,000	651	0	2	0	1	0	0	0	1	112	67	9	10	11	0	0
 CORABIA	4	3	4,269	3,001	2,609	1,367	35	0	202	1,130	819	328	173	47	1,162	327	1	28	392	44	0	3	2,050	2,000	0	348	0	4	0	0	0	0	0	0	100	90	19	20	22	0	0
 BALS	4	3	3,787	2,229	2,697	1,163	68	2	242	851	786	237	108	32	534	435	0	10	400	85	2	5	110,936	0	0	313	0	4	0	0	0	0	0	0	100	97	6	3	5	0	0
 GALATI	21	17	36,040	23,881	21,063	9,480	471	12	1,620	7,377	4,579	1,838	1,636	1,427	7,162	6,064	5	69	2,668	644	13	64	4,923,768	221,861	0	2,011	0	30	0	1	1	0	0	0	397	359	81	211	130	5	3
 TECUCI	7	6	10,921	6,903	8,567	4,627	232	0	882	3,513	3,948	482	151	46	1,744	107	0	14	1,287	299	0	7	248,099	7,100	0	988	0	5	0	0	0	0	0	0	226	203	1	20	16	0	0
 TARGU BUJOR	4	3	6,834	4,304	4,062	1,691	112	0	273	1,306	449	441	536	265	2,062	469	0	9	388	161	1	3	272,602	900	0	226	0	1	0	0	0	0	0	0	57	36	7	42	27	0	0
 LIESTI	3	1	4,055	2,646	1,658	290	8	3	39	240	203	70	11	6	1,130	232	0	1	91	11	8	5	14,900	0	0	72	0	0	0	0	0	0	0	0	11	4	1	1	1	0	0
 BRAILA	13	10	28,356	15,500	19,258	6,577	212	0	1,129	5,236	3,263	938	675	1,701	4,756	1,919	0	6	1,392	294	0	42	1,332,220	17,274	53,389	1,098	0	5	0	0	0	0	0	0	267	247	6	159	154	4	1
 FAUREI	3	3	4,750	3,848	3,032	2,156	55	10	318	1,773	1,202	506	208	240	1,096	455	0	6	237	73	14	5	84,900	0	0	150	0	2	0	0	0	0	0	0	35	28	7	11	8	0	0
 INSURATEI	3	2	3,575	2,493	2,108	1,085	55	0	115	915	619	216	250	0	884	367	0	1	328	70	0	6	35,683	0	0	258	0	0	0	0	0	0	0	0	34	16	3	9	5	0	0
 FOCSANI	12	9	24,326	11,536	17,793	5,464	394	3	1,335	3,732	3,316	1,050	135	963	2,055	1,593	1	25	2,041	560	3	45	1,608,601	24,970	7,772	1,478	0	27	0	1	0	0	0	1	437	337	28	177	153	0	0
 PANCIU	4	4	4,018	1,484	3,448	1,017	138	2	210	667	890	56	63	8	254	25	0	4	440	175	2	7	193,756	5,250	28,800	263	0	5	0	0	0	0	0	0	94	68	7	29	16	0	0
 ADJUD	3	3	4,651	2,112	3,556	1,132	79	9	270	774	891	160	78	3	484	291	0	3	521	113	10	8	205,992	500	0	398	0	6	0	0	0	0	0	0	49	0	0	13	11	1	1
 IASI	28	25	70,644	53,562	29,865	13,521	485	58	2,464	10,514	2,984	2,997	3,969	3,571	15,998	21,726	7	47	2,246	604	58	104	975,149	120,270	2,000	1,584	0	12	0	0	0	0	0	0	598	350	27	226	111	6	6
 PASCANI	10	8	16,148	10,679	9,726	4,535	148	2	554	3,831	2,212	854	999	470	2,530	3,276	2	21	962	184	2	20	1,004,872	35,238	556,000	776	0	5	0	0	0	0	0	0	289	281	18	12	11	1	2
 HARLAU	5	4	6,607	3,483	3,950	878	88	8	53	729	210	211	316	141	1,345	1,124	0	5	311	99	8	6	111,826	1,850	78,720	204	0	4	0	0	0	0	0	0	62	48	6	6	3	0	0
 RADUCANENI	4	4	5,201	3,376	3,374	1,662	60	18	318	1,266	533	287	468	374	1,175	447	2	21	341	99	19	4	126,693	0	0	223	0	0	0	0	0	0	0	0	60	56	15	12	5	0	0
 VASLUI	9	9	20,838	12,316	12,594	4,502	312	11	365	3,814	2,280	818	784	620	3,108	3,793	0	23	867	355	11	26	945,890	14,257	36,972	501	0	5	0	0	0	0	0	0	456	305	19	27	24	0	0
 BARLAD	12	11	21,629	15,856	10,804	5,104	212	4	459	4,429	1,361	916	1,324	1,503	3,524	6,575	0	23	1,311	273	5	35	331,362	540	36,762	1,033	0	3	0	0	0	0	0	0	285	256	54	69	48	1	1
 HUSI	5	5	7,221	5,596	4,403	2,821	179	11	326	2,305	1,901	406	214	300	1,123	1,350	0	0	975	202	13	25	3,932,255	8,000	1,411,536	760	1	0	0	0	0	0	0	0	54	38	0	6	4	0	0
 TARGU MURES	16	13	35,224	25,431	20,034	10,421	316	21	1,576	8,508	3,671	961	1,356	4,433	2,449	11,190	1	36	2,178	395	25	52	1,459,582	179,050	3,830	1,758	2	1	0	2	0	0	0	2	390	352	12	98	68	0	0
 SIGHISOARA	5	3	7,901	5,350	4,577	2,130	106	0	279	1,745	819	386	392	533	1,409	1,478	0	3	383	134	0	8	313,444	11,443	0	249	0	8	0	2	0	0	0	2	29	27	0	6	4	0	0
 REGHIN	7	6	9,292	7,697	5,524	4,005	177	6	506	3,316	1,532	465	392	1,616	848	2,572	0	22	929	211	6	15	425,088	0	0	712	0	4	0	0	0	0	0	0	129	122	13	30	14	0	0
 TARNAVENI	3	2	3,785	2,674	2,041	982	46	0	92	844	418	242	322	0	618	971	0	2	356	61	0	9	132,256	0	0	295	0	0	0	0	0	0	0	0	10	8	0	1	2	0	0
 LUDUS	3	3	4,206	3,386	2,143	1,346	67	2	164	1,113	475	170	134	567	611	1,239	0	5	353	86	2	12	535,878	2,000	0	265	0	2	0	0	0	0	0	0	30	26	1	9	2	0	0
 MIERCUREA CIUC	5	5	12,879	5,185	9,522	1,963	128	1	193	1,641	832	284	724	123	1,496	1,398	0	1	474	166	1	9	0	0	11,959	307	1	12	0	0	0	0	0	0	105	98	30	27	12	0	0
 ODORHEIUL SECUIESC	4	4	5,712	3,462	3,995	1,844	89	33	293	1,429	1,176	238	147	283	405	1,098	2	6	604	111	33	8	2,264,943	1,000	1,529,600	460	0	2	0	1	0	1	0	0	40	38	2	2	0	0	0
 TOPLITA	3	3	4,000	1,950	2,981	947	59	13	89	786	511	175	149	112	420	486	0	2	244	73	14	9	0	0	0	157	0	0	0	0	0	0	0	0	50	48	8	13	5	0	0
 GHEORGHENI	3	2	4,386	2,763	2,822	1,234	39	2	167	1,026	614	233	126	261	700	629	0	6	245	48	2	1	73,635	0	114,435	195	1	2	1	0	0	0	0	0	31	31	0	5	2	0	0
 PLOIESTI	22	15	53,378	34,040	30,911	11,897	421	61	1,322	10,093	5,302	1,860	1,764	2,971	9,767	10,923	1	55	2,927	560	68	143	3,131,500	366,465	884,432	2,299	8	11	0	0	0	0	0	0	491	452	61	191	117	0	0
 CAMPINA	8	8	15,036	9,923	9,347	4,395	143	56	668	3,528	2,504	738	464	689	2,464	2,561	0	27	949	234	59	27	904,100	11,288	103,064	656	0	1	0	32	1	0	0	31	207	190	16	40	24	1	0
 VALENII DE MUNTE	5	4	7,939	5,477	4,714	2,424	89	53	263	2,019	1,185	413	742	84	1,928	836	3	6	584	133	68	17	930,710	0	20,770	383	0	4	0	0	0	0	0	0	162	126	11	33	19	0	0
 MIZIL	3	2	4,534	2,390	2,970	1,109	48	0	149	912	703	194	134	78	779	438	0	5	123	51	0	5	6,880	0	0	72	0	0	0	0	0	0	0	0	24	11	1	8	6	1	0
 SINAIA	4	4	3,174	2,358	2,377	1,593	73	35	145	1,340	979	222	93	299	358	291	3	10	386	81	39	6	161,998	61,600	0	266	1	3	0	16	0	1	1	15	73	61	3	7	3	0	1
 BUZAU	15	14	29,345	16,873	18,960	6,781	284	3	771	5,723	3,085	1,330	1,061	1,305	3,392	6,143	0	23	1,756	334	3	38	893,320	5,972	7,410	1,419	0	16	0	0	0	0	1	0	341	333	12	38	27	0	0
 RAMNICU SARAT	5	4	6,562	4,544	4,076	2,112	92	10	223	1,787	1,061	600	407	44	1,693	415	1	14	649	102	10	10	466,837	0	0	537	0	2	0	0	0	0	0	0	87	86	2	19	24	2	2
 PATARLAGELE	4	3	3,604	2,312	2,402	1,387	45	0	241	1,101	862	339	173	13	568	219	0	13	448	53	0	12	48,303	6,000	0	395	0	0	0	1	1	0	0	0	76	70	1	0	0	0	0
 POGOANELE	3	3	3,420	2,026	2,457	1,141	84	16	191	850	525	217	191	208	457	366	1	4	2,256	107	17	4	113,503	0	0	2,132	0	1	0	0	0	0	0	0	27	27	1	2	1	0	0
 TARGOVISTE	12	9	26,985	20,525	13,090	6,938	251	4	452	6,231	2,826	887	915	2,310	8,563	4,089	3	64	4,797	387	4	62	271,353	0	12,888	4,406	0	10	0	12	0	0	0	12	306	249	8	91	59	0	0
 GAESTI	5	5	14,815	6,897	11,046	3,211	104	2	420	2,685	1,798	554	453	406	1,710	1,635	0	7	318	132	2	8	0	0	0	184	0	1	0	0	0	0	0	0	97	88	2	50	16	0	0
 PUCIOASA	3	3	5,898	3,962	4,123	2,470	76	4	236	2,154	1,918	350	198	4	650	568	0	21	444	92	4	9	0	0	0	348	0	0	0	0	0	0	0	0	89	84	5	4	3	0	0
 RACARI	4	3	6,938	4,917	3,944	2,014	107	0	398	1,509	924	594	453	43	1,448	1,151	0	8	454	135	0	6	82,910	0	1,132,664	319	0	16	0	0	0	0	0	0	70	51	2	23	16	0	0
 MORENI	3	3	9,075	3,194	6,979	1,181	50	3	108	1,020	590	268	135	188	736	984	0	1	387	50	3	2	1,666	0	0	334	0	5	0	0	0	0	0	0	33	14	0	14	8	1	1
 TIMISOARA	30	28	67,044	54,754	28,514	16,619	665	19	1,226	14,709	3,424	2,423	5,410	5,362	18,721	17,633	1	81	2,438	732	19	42	1,455,101	111,753	55,195	1,687	4	31	0	2	0	0	0	2	594	549	53	159	109	2	1
 LUGOJ	6	5	8,164	5,461	4,303	2,116	130	1	278	1,707	1,205	478	87	346	906	2,223	0	28	585	145	1	4	319,941	40,600	0	439	0	3	0	0	0	0	0	0	122	103	6	15	7	0	0
 DETA	3	3	5,789	2,809	4,040	1,159	91	24	83	961	401	253	439	66	1,295	240	0	5	531	99	24	5	257,664	3,576	0	408	0	3	0	0	0	0	0	0	40	32	0	5	0	0	0
 SANNICOLAUL MARE	3	2	4,824	3,095	2,887	1,219	96	19	276	828	569	262	235	153	1,165	494	0	4	572	108	23	6	46,564	7,000	5,393	441	0	3	0	0	0	0	0	0	25	10	0	8	7	0	0
 FAGET	3	3	2,199	1,252	1,586	655	40	0	100	515	407	140	62	46	326	177	0	3	259	46	0	5	8,223	20,000	0	213	0	2	0	0	0	0	0	0	23	19	0	3	1	0	0
 ARAD	17	13	30,161	22,140	14,700	6,860	363	8	1,416	5,073	3,550	1,049	529	1,732	2,187	12,234	0	56	1,449	401	9	36	3,628,265	34,500	0	1,039	0	3	0	5	0	0	0	5	298	267	19	51	29	0	0
 INEU	3	3	2,320	1,668	1,502	877	84	2	115	676	513	207	63	94	323	344	0	17	394	98	2	4	1,085,473	9,145	0	294	0	0	0	2	0	0	0	2	51	46	6	5	1	0	0
 LIPOVA	3	3	3,417	2,634	1,906	1,153	86	2	143	922	497	204	175	277	502	866	0	8	383	104	2	28	887,718	10,500	0	277	1	6	0	4	0	0	0	4	41	39	5	10	7	0	0
 GURA HONT	3	3	1,709	1,083	1,264	655	29	9	82	535	409	118	73	55	236	163	0	2	222	36	10	1	81,742	0	0	176	0	3	0	0	0	0	0	0	33	29	1	3	2	0	0
 CHISINEU CRIS	3	1	2,567	1,695	1,591	782	64	1	231	486	359	153	204	66	301	515	0	7	348	77	1	7	93,091	680	0	270	1	2	0	0	0	0	0	0	38	1	0	1	0	0	0
 RESITA	8	7	10,888	7,623	6,208	3,157	245	11	667	2,234	1,476	552	559	570	2,446	1,401	0	5	1,061	326	12	26	786,607	33,740	107,940	723	0	4	0	1	0	0	0	1	88	74	2	9	7	0	0
 CARANSEBES	7	4	8,624	5,649	5,676	2,788	126	75	254	2,333	1,594	482	303	409	1,344	1,051	9	5	502	152	84	10	521,849	0	131,326	266	0	2	0	0	0	0	0	0	143	119	4	16	14	0	0
 ORAVITA	3	2	4,843	2,772	3,566	1,581	79	43	369	1,090	1,193	266	122	0	636	310	0	11	1,220	83	43	2	34,936	0	22,296	1,094	0	5	0	1	1	0	1	0	34	30	11	24	13	0	0
 MOLDOVA-NOUA	3	2	1,638	1,072	1,170	641	48	4	82	507	481	112	48	0	300	82	0	6	182	51	4	2	15,372,482	0	0	127	0	0	0	0	0	0	0	0	44	37	4	0	0	0	0
																																									
TOTAL	1,332	1,124	2,515,534	1,744,937	1,351,956	613,291	28,685	1,684	80,958	501,964	251,029	109,613	139,020	113,629	457,578	594,028	114	3,549	157,132	36,962	1,839	4,211	255,577,884	8,070,613	42,318,716	118,331	76	870	9	587	43	5	6	539	30,844	25,909	2,627	7,806	4,865	80	47