name	perf_2015						perf_2014																		
Judecătoria CARACAL	0.38	-0.02	0.91	0.26		Judecătoria OLTENIŢA	0.39	0.26	0.74	0.18															
Judecătoria ODORHEIUL SECUIESC	0.38	-0.37	0.85	0.66		Judecătoria RÂMNICU VÂLCEA	0.39	-0.16	0.98	0.34															
Judecătoria ORADEA	0.37	-0.59	1.01	0.68		Judecătoria PANCIU	0.36	1.53	-2.09	1.64															
Judecătoria AGNITA	0.36	2.77	-1.90	0.22		Judecătoria ROMAN	0.35	-0.12	1.00	0.18															
Judecătoria PITEŞTI	0.36	0.01	0.76	0.31		Judecătoria BALŞ	0.33	-0.43	0.10	1.33															
Judecătoria TĂRGU NEAMŢ	0.35	-0.55	1.11	0.50		Judecătoria FĂUREI	0.32	2.42	-1.58	0.12															
Judecătoria GHERLA	0.35	0.27	0.36	0.42		Judecătoria CÂMPENI	0.31	0.48	-0.18	0.64															
Judecătoria CLUJ-NAPOCA	0.34	-0.41	1.13	0.29		Judecătoria GHEORGHENI	0.31	0.59	-0.26	0.59															
Judecătoria TULCEA	0.33	1.07	0.26	-0.36		Judecătoria LUGOJ	0.31	-0.16	0.73	0.34															
Judecătoria LUDUŞ	0.32	1.99	-2.03	1.01		Judecătoria REŞITA	0.29	-0.05	0.37	0.55															
Judecătoria ZALĂU	0.32	0.58	0.50	-0.12		Judecătoria TÂRGU SECUIESC	0.29	0.99	0.03	-0.16															
Judecătoria MIERCUREA CIUC	0.30	-0.02	0.49	0.44		Judecătoria LUDUŞ	0.29	-0.28	-0.61	1.75															
Judecătoria CÂMPINA	0.30	-0.50	0.65	0.74		Judecătoria BEIUŞ	0.29	-0.53	0.87	0.53															
Judecătoria MIZIL	0.30	0.56	0.28	0.04		Judecătoria TĂRGU NEAMŢ	0.29	-0.24	1.17	-0.06															
Judecătoria BACĂU	0.28	-0.26	1.05	0.04		Judecătoria CÂMPINA	0.28	-0.75	0.92	0.66															
Judecătoria OLTENIŢA	0.27	-0.33	0.69	0.46		Judecătoria CARACAL	0.27	-0.52	0.80	0.54															
Judecătoria MACIN	0.26	1.83	-0.86	-0.19		Judecătoria AGNITA	0.25	2.21	-1.56	0.11															
Judecătoria MOINEŞTI	0.24	0.21	0.47	0.04		Judecătoria BOLINTIN VALE	0.25	0.34	0.61	-0.21															
Judecătoria SINAIA	0.23	1.17	-1.12	0.64		Judecătoria ORADEA	0.24	-0.13	1.02	-0.18															
Judecătoria TÂRGU BUJOR	0.23	1.24	-0.23	-0.34		Judecătoria CÂMPULUNG MOLDOVENESC	0.24	0.40	-0.42	0.72															
Judecătoria GHEORGHENI	0.22	2.14	-0.59	-0.90		Judecătoria FOCŞANI	0.23	0.72	0.94	-0.97															
Judecătoria SUCEAVA	0.22	-0.41	0.94	0.13		Judecătoria PĂTĂRLAGELE	0.23	0.92	-1.21	0.98															
Judecătoria CURTEA DE ARGEŞ	0.19	-0.94	0.69	0.84		Judecătoria BISTRIŢA	0.21	-0.70	0.66	0.67															
Judecătoria RĂDUCĂNENI	0.19	-0.62	0.48	0.71		Judecătoria TÂRGOVIŞTE	0.21	-0.79	1.07	0.34															
Judecătoria RÂMNICU SARAT	0.18	-0.32	0.62	0.23		Judecătoria ZALĂU	0.20	-0.02	0.48	0.15															
Judecătoria MOLDOVA-NOUĂ	0.17	1.83	-2.97	1.66		Judecătoria RÂMNICU SARAT	0.19	0.14	0.57	-0.15															
Judecătoria SLOBOZIA	0.17	0.61	0.30	-0.40		Judecătoria VATRA DORNEI	0.18	0.71	-1.02	0.85															
Judecătoria LUGOJ	0.16	-0.10	0.70	-0.12		Judecătoria COSTEŞTI	0.17	-0.38	-0.04	0.92															
Judecătoria MARGHITA	0.16	-0.17	-0.26	0.89		Judecătoria SIGHIŞOARA	0.16	-0.63	0.45	0.67															
Judecătoria PAŞCANI	0.15	-0.12	0.90	-0.34		Judecătoria ZIMNICEA	0.16	1.79	-1.46	0.16															
Judecătoria DETA	0.15	-0.50	0.12	0.82		Judecătoria CURTEA DE ARGEŞ	0.15	-0.55	0.68	0.33															
Judecătoria BOTOŞANI	0.15	0.89	0.63	-1.08		Judecătoria MIERCUREA CIUC	0.15	-0.46	0.46	0.46															
Judecătoria TURDA	0.13	-0.93	0.76	0.58		Judecătoria GHERLA	0.15	-0.81	0.46	0.80															
Judecătoria REŞITA	0.13	-0.10	0.41	0.08		Judecătoria DETA	0.15	-0.35	-0.26	1.05															
Judecătoria AVRIG	0.12	-0.26	0.02	0.61		Judecătoria ROŞIORI DE VEDE	0.14	-0.46	0.50	0.39															
Judecătoria CÂMPENI	0.12	0.79	-0.27	-0.16		Judecătoria TULCEA	0.14	-0.71	0.55	0.57															
Judecătoria CORABIA	0.11	0.89	0.30	-0.85		Judecătoria SUCEAVA	0.13	-1.02	1.01	0.38															
Judecătoria BAIA MARE	0.10	-0.60	1.03	-0.13		Judecătoria STREHAIA	0.09	0.14	-0.35	0.47															
Judecătoria FOCŞANI	0.09	0.50	0.92	-1.17		Judecătoria CAREI	0.08	-0.04	0.13	0.16															
Judecătoria FĂLTICENI	0.08	-0.34	0.61	-0.02		Judecătoria CHIŞINEU CRIŞ	0.08	-0.21	-0.98	1.44															
Judecătoria MEDGIDIA	0.08	-0.61	0.10	0.75		Judecătoria DEJ	0.07	-0.39	0.23	0.38															
Judecătoria TÂRGU-CĂRBUNEŞTI	0.07	-0.06	0.53	-0.25		Judecătoria ÎNSURĂŢEI	0.07	1.62	-1.82	0.42															
Judecătoria STREHAIA	0.07	0.54	-0.18	-0.15		Judecătoria BAIA MARE	0.06	-0.96	1.03	0.10															
Judecătoria RĂCARI	0.06	-0.17	0.20	0.13		Judecătoria MARGHITA	0.06	0.75	0.31	-0.89															
Judecătoria GALAŢI	0.06	-0.53	0.98	-0.29		Judecătoria MANGALIA	0.05	-0.75	0.48	0.43															
Judecătoria FĂGET	0.04	-0.13	0.19	0.05		Judecătoria RĂDĂUŢI	0.05	-0.68	0.94	-0.12															
Judecătoria TÂRGU JIU	0.04	-0.01	0.44	-0.31		Judecătoria ORAŞTIE	0.05	2.20	-1.52	-0.54															
Judecătoria GĂEŞTI	0.02	-0.26	0.36	-0.04		Judecătoria CALAFAT	0.03	-0.43	-0.59	1.11															
Judecătoria RĂDĂUŢI	0.02	-0.05	0.89	-0.77		Judecătoria BUZĂU	0.03	1.10	0.29	-1.30															
Judecătoria CORNETU	0.02	-0.80	0.56	0.29		Judecătoria ALEXANDRIA	0.01	0.52	0.38	-0.89															
Judecătoria GIURGIU	0.02	-0.96	0.35	0.67		Judecătoria JIBOU	0.00	-0.38	0.38	0.01															
Judecătoria MANGALIA	0.01	-0.51	0.51	0.03		Judecătoria MORENI	-0.01	-0.09	0.00	0.06															
Judecătoria LIEŞTI	0.01	1.65	-0.53	-1.10		Judecătoria RĂDUCĂNENI	-0.01	-0.79	0.42	0.34															
Judecătoria TÂRGOVIŞTE	0.00	-1.26	0.76	0.51		Judecătoria RĂCARI	-0.02	1.55	-0.11	-1.50															
Judecătoria DOROHOI	0.00	0.48	-0.35	-0.14		Judecătoria SLATINA	-0.02	-0.58	0.93	-0.42															
Judecătoria SÂNNICOLAUL MARE	-0.02	-0.77	0.26	0.46		Judecătoria SFÂNTU GHEORGHE	-0.05	-0.86	0.63	0.08															
Judecătoria SFÂNTU GHEORGHE	-0.02	-0.44	0.68	-0.30		Judecătoria GALAŢI	-0.06	0.07	0.90	-1.16															
Judecătoria BALŞ	-0.03	0.59	-0.24	-0.45		Judecătoria BABADAG	-0.06	-0.43	-0.06	0.30															
Judecătoria BEIUŞ	-0.05	-0.68	0.88	-0.37		Judecătoria VIŞEU DE SUS	-0.06	-0.81	0.43	0.19															
Judecătoria VIŞEU DE SUS	-0.05	-0.55	0.57	-0.18		Judecătoria BACĂU	-0.07	-0.52	1.14	-0.84															
Judecătoria ORŞOVA	-0.07	0.82	-1.75	0.73		Judecătoria MOINEŞTI	-0.07	-0.77	0.63	-0.09															
Judecătoria BUFTEA	-0.07	-0.60	0.27	0.13		Judecătoria TÂRGU JIU	-0.08	-0.26	0.18	-0.15															
Judecătoria PIATRA-NEAMT	-0.08	-0.76	0.89	-0.35		Judecătoria GURA HUMORULUI	-0.10	-0.59	0.20	0.07															
Judecătoria FETEŞTI	-0.08	0.73	-0.43	-0.55		Judecătoria SEBEŞ	-0.11	-0.67	-0.48	0.81															
Judecătoria VĂLENII DE MUNTE	-0.09	-0.83	0.48	0.09		Judecătoria PIATRA-NEAMT	-0.12	-0.80	0.97	-0.51															
Judecătoria BĂLCEŞTI	-0.09	-0.84	-0.33	0.90		Judecătoria PODU TURCULUI	-0.13	2.32	-2.56	-0.15															
Judecătoria ROMAN	-0.10	-0.91	0.86	-0.24		Judecătoria CORNETU	-0.14	0.56	0.45	-1.42															
Judecătoria AIUD	-0.10	0.65	-0.21	-0.76		Judecătoria CORABIA	-0.14	-0.04	0.13	-0.50															
Judecătoria CAREI	-0.11	-0.22	0.48	-0.60		Judecătoria PAŞCANI	-0.15	-0.37	0.94	-1.00															
Judecătoria PĂTĂRLAGELE	-0.12	0.09	-1.07	0.63		Judecătoria LIPOVA	-0.15	-0.76	-0.26	0.57															
Judecătoria NĂSĂUD	-0.12	-0.33	0.27	-0.30		Judecătoria SÂNNICOLAUL MARE	-0.15	-1.26	0.05	0.77															
Judecătoria DEJ	-0.12	-0.55	0.12	0.07		Judecătoria BĂILEŞTI	-0.15	0.00	-0.20	-0.25															
Judecătoria BABADAG	-0.12	-0.51	0.07	0.08		Judecătoria FĂGET	-0.16	-0.51	0.18	-0.14															
Judecătoria SIGHIŞOARA	-0.15	-0.29	0.38	-0.53		Judecătoria POGOANELE	-0.18	-0.48	-0.29	0.22															
Judecătoria BECLEAN	-0.16	-0.56	-0.80	0.89		Judecătoria PITEŞTI	-0.18	-0.65	0.83	-0.72															
Judecătoria ORAŞTIE	-0.16	1.72	-2.86	0.66		Judecătoria DOROHOI	-0.22	-0.40	-0.15	-0.10															
Judecătoria CÂMPULUNG MOLDOVENESC	-0.16	0.15	-0.46	-0.18		Judecătoria FĂGĂRAŞ	-0.23	-1.00	-0.01	0.32															
Judecătoria PODU TURCULUI	-0.17	-1.22	-0.85	1.55		Judecătoria AIUD	-0.25	0.40	-0.35	-0.81															
Judecătoria BOLINTIN VALE	-0.18	-1.03	0.25	0.23		Judecătoria SINAIA	-0.27	0.60	-0.89	-0.51															
Judecătoria LIPOVA	-0.19	-0.39	0.03	-0.20		Judecătoria NĂSĂUD	-0.27	-0.11	-0.05	-0.64															
Judecătoria ROŞIORI DE VEDE	-0.19	-0.35	0.56	-0.79		Judecătoria HUEDIN	-0.27	-0.89	0.27	-0.19															
Judecătoria TÂRNAVENI	-0.20	-0.45	-0.37	0.23		Judecătoria NOVACI	-0.31	2.75	-3.11	-0.56															
Judecătoria VATRA DORNEI	-0.22	-0.72	-0.13	0.18		Judecătoria DRĂGĂŞANI	-0.32	-0.55	0.31	-0.72															
Judecătoria SIGHETU MARMAŢIEI	-0.22	-0.83	0.36	-0.20		Judecătoria TÂRGU-CĂRBUNEŞTI	-0.32	-0.44	0.49	-1.01															
Judecătoria JIBOU	-0.23	-0.70	0.49	-0.48		Judecătoria TÂRNAVENI	-0.33	-0.91	-0.14	0.05															
Judecătoria GURA HUMORULUI	-0.23	-1.22	0.31	0.22		Judecătoria MIZIL	-0.34	-0.90	0.58	-0.69															
Judecătoria NOVACI	-0.24	1.81	-1.99	-0.55		Judecătoria MOTRU	-0.36	-0.80	-0.06	-0.21															
Judecătoria FĂGĂRAŞ	-0.34	-0.62	0.20	-0.60		Judecătoria SALONTA	-0.38	-0.33	-0.17	-0.64															
Judecătoria ÎNSURĂŢEI	-0.36	1.05	-2.07	-0.06		Judecătoria VIDELE	-0.40	1.36	-3.22	0.66															
Judecătoria FILIAŞI	-0.36	-0.31	-0.59	-0.19		Judecătoria GĂEŞTI	-0.40	-0.67	0.32	-0.87															
Judecătoria RÂMNICU VÂLCEA	-0.37	-1.42	0.80	-0.49		Judecătoria BLAJ	-0.43	-0.07	-0.69	-0.53															
Judecătoria ALEŞD	-0.38	-0.40	-0.18	-0.55		Judecătoria MACIN	-0.47	-0.73	-0.21	-0.47															
Judecătoria POGOANELE	-0.39	-0.39	0.13	-0.90		Judecătoria BĂLCEŞTI	-0.48	-0.99	-0.45	0.01															
Judecătoria TÂRGU SECUIESC	-0.39	-0.96	0.46	-0.68		Judecătoria BECLEAN	-0.48	-1.29	-0.22	0.06															
Judecătoria ZĂRNEŞTI	-0.44	-1.67	0.48	-0.12		Judecătoria ZĂRNEŞTI	-0.48	0.31	-0.39	-1.37															
Judecătoria HUEDIN	-0.44	-1.33	0.34	-0.34		Judecătoria TOPLIŢA	-0.53	1.72	-3.61	0.29															
Judecătoria TOPOLOVENI	-0.45	-0.80	-0.56	0.01		Judecătoria FETEŞTI	-0.54	0.95	-0.96	-1.60															
Judecătoria MOTRU	-0.48	-0.86	0.25	-0.83		Judecătoria HOREZU	-0.54	-0.10	0.08	-1.61															
Judecătoria SALIŞTE	-0.49	-0.86	-0.23	-0.38		Judecătoria HÂRLĂU	-0.55	-1.18	0.52	-1.00															
Judecătoria ŞIMLEUL SILVANIEI	-0.50	0.27	0.11	-1.87		Judecătoria BUHUŞI	-0.56	-0.74	-0.16	-0.79															
Judecătoria TÂRGU MUREŞ	-0.52	-0.58	-0.90	-0.08		Judecătoria ORŞOVA	-0.57	-0.84	-1.13	0.26															
Judecătoria FĂUREI	-0.55	0.44	-1.10	-0.99		Judecătoria BUFTEA	-0.58	-0.68	0.38	-1.45															
Judecătoria ÎNTORSURA BUZĂULUI	-0.55	-0.86	0.13	-0.92		Judecătoria LIEŞTI	-0.59	-0.75	-0.31	-0.72															
Judecătoria SALONTA	-0.56	-1.00	0.48	-1.17		Judecătoria SECTORUL 2 BUCUREŞTI	-0.60	0.11	0.93	-2.83															
Judecătoria ALEXANDRIA	-0.58	-1.09	0.42	-1.07		Judecătoria FILIAŞI	-0.62	-0.52	-1.33	-0.03															
Judecătoria ZIMNICEA	-0.62	0.36	-0.92	-1.30		Judecătoria TÂRGU MUREŞ	-0.63	-0.22	-1.47	-0.19															
Judecătoria ADJUD	-0.75	-0.67	-1.72	0.15		Judecătoria NEGREŞTI-OAŞ	-0.63	-0.37	-0.42	-1.09															
